,utc_timestamp,xr_obs_u,xr_obs_v
5332,2008-09-10 00:19:59.999999+00:00,-7.80604749572297,-2.782889049880433
5333,2008-09-10 00:39:59.999998+00:00,-8.328739243438319,-2.3619409981786
5334,2008-09-10 00:59:59.999997+00:00,-8.705987967475886,-1.8471602799086253
5335,2008-09-10 01:19:59.999996+00:00,-8.91576683148488,-1.2555613350331694
5336,2008-09-10 01:40:00.000004+00:00,-8.947559918380867,-0.610952525560406
5337,2008-09-10 02:00:00.000003+00:00,-8.8049972884352,0.05904165951659257
5338,2008-09-10 02:20:00.000002+00:00,-8.505742119558095,0.7267162670551683
5339,2008-09-10 02:40:00.000001+00:00,-8.078626790601618,1.3679269418331548
5340,2008-09-10 03:00:00+00:00,-7.55870425307689,1.9648099774923735
5341,2008-09-10 03:19:59.999999+00:00,-6.981385118045208,2.506985763284069
5342,2008-09-10 03:39:59.999998+00:00,-6.377043736720632,2.9910278053379056
5343,2008-09-10 03:59:59.999997+00:00,-5.767345300110826,3.4184096351266158
5344,2008-09-10 04:19:59.999996+00:00,-5.164103661719917,3.7925169290945657
5345,2008-09-10 04:40:00.000004+00:00,-4.570837660420107,4.115537980215941
5346,2008-09-10 05:00:00.000003+00:00,-3.9865125724115313,4.386066416402738
5347,2008-09-10 05:20:00.000002+00:00,-3.4104042753754786,4.59806034121548
5348,2008-09-10 05:40:00.000001+00:00,-2.846743916827441,4.741450028176748
5349,2008-09-10 06:00:00+00:00,-2.3078605402103545,4.80426029758693
5350,2008-09-10 06:19:59.999999+00:00,-1.8149231052729167,4.77572083500949
5351,2008-09-10 06:39:59.999998+00:00,-1.3959952438371714,4.649576730357283
5352,2008-09-10 06:59:59.999997+00:00,-1.081802381099587,4.42674816298868
5353,2008-09-10 07:19:59.999996+00:00,-0.9001991518097046,4.116638599115815
5354,2008-09-10 07:40:00.000004+00:00,-0.8706678527728988,3.736717837436108
5355,2008-09-10 08:00:00.000003+00:00,-1.0001892667494137,3.3104280026793322
5356,2008-09-10 08:20:00.000002+00:00,-1.281502858818772,2.863871879207512
5357,2008-09-10 08:40:00.000001+00:00,-1.694194540200821,2.4220409244998224
5358,2008-09-10 09:00:00+00:00,-2.2083615258552216,2.0054504781305154
5359,2008-09-10 09:19:59.999999+00:00,-2.789977253850854,1.6279446094776642
5360,2008-09-10 09:39:59.999998+00:00,-3.4066713613207416,1.2961391192788492
5361,2008-09-10 09:59:59.999997+00:00,-4.032552019503312,1.0105620955608137
5362,2008-09-10 10:19:59.999996+00:00,-4.65095225241381,0.7681294760888582
5363,2008-09-10 10:40:00.000004+00:00,-5.254513721162381,0.5652641055516554
5364,2008-09-10 11:00:00.000003+00:00,-5.842697933005495,0.40081273332410383
5365,2008-09-10 11:20:00.000002+00:00,-6.417465632740484,0.27797500160810173
5366,2008-09-10 11:40:00.000001+00:00,-6.978327479262666,0.2047163354092545
5367,2008-09-10 12:00:00+00:00,-7.518126924369935,0.19252800079462062
5368,2008-09-10 12:19:59.999999+00:00,-8.02072999829495,0.2538240872566
5369,2008-09-10 12:39:59.999998+00:00,-8.461313179463513,0.3986196413258183
5370,2008-09-10 12:59:59.999997+00:00,-8.809280919023719,0.631327486911553
5371,2008-09-10 13:19:59.999996+00:00,-9.03317427064433,0.9484946935076977
5372,2008-09-10 13:40:00.000004+00:00,-9.106419302604333,1.3380769002117479
5373,2008-09-10 14:00:00.000003+00:00,-9.012537770462899,1.7804753834143177
5374,2008-09-10 14:20:00.000002+00:00,-8.748559522317306,2.251130933817242
5375,2008-09-10 14:40:00.000001+00:00,-8.325807734119183,2.724088002562625
5376,2008-09-10 15:00:00+00:00,-7.76786655225271,3.175707241358225
5377,2008-09-10 15:19:59.999999+00:00,-7.106226650456627,3.5876732474209074
5378,2008-09-10 15:39:59.999998+00:00,-6.374666261421156,3.9486247156873615
5379,2008-09-10 15:59:59.999997+00:00,-5.603723184770001,4.25408097708249
5380,2008-09-10 16:19:59.999996+00:00,-4.816572738527953,4.504765242016099
5381,2008-09-10 16:40:00.000004+00:00,-4.027258710246748,4.703823746180872
5382,2008-09-10 17:00:00.000003+00:00,-3.2416209220678516,4.85371190483961
5383,2008-09-10 17:20:00.000002+00:00,-2.460576294574775,4.9535951646927066
5384,2008-09-10 17:40:00.000001+00:00,-1.6848121206845024,4.997974725229932
5385,2008-09-10 18:00:00+00:00,-0.9195909242517877,4.976931236217214
5386,2008-09-10 18:19:59.999999+00:00,-0.1783358993332036,4.877962672031219
5387,2008-09-10 18:39:59.999998+00:00,0.5160278008015826,4.688980557375642
5388,2008-09-10 18:59:59.999997+00:00,1.132434398273124,4.401725122768915
5389,2008-09-10 19:19:59.999996+00:00,1.635515798410306,4.014741135208087
5390,2008-09-10 19:40:00.000004+00:00,1.9910603029194656,3.5351523403570093
5391,2008-09-10 20:00:00.000003+00:00,2.171816412818136,2.9787597472399296
5392,2008-09-10 20:20:00.000002+00:00,2.1622643394724235,2.3683959575320572
5393,2008-09-10 20:40:00.000001+00:00,1.9612188686431953,1.7308926774409783
5394,2008-09-10 21:00:00+00:00,1.581651194160132,1.093355375416575
5395,2008-09-10 21:19:59.999999+00:00,1.0477935356607495,0.4796036696576955
5396,2008-09-10 21:39:59.999998+00:00,0.3902498982738659,-0.09241254447166458
5397,2008-09-10 21:59:59.999997+00:00,-0.359685402229197,-0.6116605746217445
5398,2008-09-10 22:19:59.999996+00:00,-1.1751222929858747,-1.073363055959554
5399,2008-09-10 22:40:00.000004+00:00,-2.0368701039429347,-1.4768821976135724
